cid,text,time,author,channel,votes,photo,heart
UgzZvoXFzsVTaI2tCrF4AaABAg,This is 🔥.,2 days ago,Jordan Gates,UCrMJx6azCqJEyTEGbQRKNyQ,0,https://yt3.ggpht.com/ytc/AKedOLS57CG11XvauTgnPQDndcLVAdzLSL54DbztSA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrfP92tCT7IqKHMIJ4AaABAg,"I came here from a minecraft tiktok video...
Now I'm obsessed by this masterpiece 🥰",11 days ago,Yannick Wictor,UCy_wauuZ8PBta2oSya18ISw,0,https://yt3.ggpht.com/ytc/AKedOLS6LgnoOmnaxEIWfZ5h47AF-0H8hGbiPl24FA7P7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwB3LpU4fjOtHTGD1B4AaABAg,Bu müziği dinliyorsan müzik zevkin zaten tartışılmaz,2 weeks ago,Behlül Haznedaroğlu,UCYeNnrz6myW3wXqnE7-PTPQ,0,https://yt3.ggpht.com/ik-tPx0np5jV5fdHLHOpQFaTDXotSz3Pa7hABSF9AraAxycF2LUrcbZwpnVgrcd_Ty60qUakUQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJYsBz8exm4zlvYp14AaABAg,So Beautiful transcends music,2 weeks ago,Wolshanze1944,UCjs_cDV9rfFNegf6G39ycRw,0,https://yt3.ggpht.com/ytc/AKedOLRgEZQalDSDkob2Q61vcbwuyQqIq3mOWik3iCHk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEakzdUE1Kd4jTloV4AaABAg,Beyond music !,1 month ago,Wolshanze1944,UCjs_cDV9rfFNegf6G39ycRw,0,https://yt3.ggpht.com/ytc/AKedOLRgEZQalDSDkob2Q61vcbwuyQqIq3mOWik3iCHk=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuXfIERizoLdYVX7V4AaABAg,"I travel in a restful space of time, I feel good, relaxed, everything is fine. Thanks M83.",1 month ago,The Stryker,UCRDVJ6sQWoclLhscQrA4q8Q,0,https://yt3.ggpht.com/ytc/AKedOLQHpLfE1laWMn4GV0nfoENBvay37u840z4SR9-pUA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwE-N23GXmXPPR1nnN4AaABAg,Is the melody from Scarface?,1 month ago,Pravda Highschool,UCnLungAC1c73pR1OKRFICHw,0,https://yt3.ggpht.com/ytc/AKedOLSCyCu0Yec_44bJz63KALWRJ6CZIpBu_XCNgBkq4g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsGU4sjxoMbF7TQxp4AaABAg,It kinda gives me euphoria vibes,2 months ago,Stella 25,UC5Zz-pa9ky-AoKowoMcx_dw,0,https://yt3.ggpht.com/ytc/AKedOLQTiD5k1X-TY7UEFebdM0f0frXbR4cEdKHgPxuEhQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzawzKUiwQHitBTJxF4AaABAg,Go up more are good do not stop going up because it looks that they withdrew,2 months ago,brasiliano,UC_Ah-tHa46R6wD0jqzHzatw,2,https://yt3.ggpht.com/CWB6PfWYg3JcpKiI-Hf1SIbG1B-WRBXcY66XoIpKmp9hJLok1P0VDXBm3pFVV_hRd6Qi2I4F=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0lnvgUneAUKmisT94AaABAg,The feelsman 😣,2 months ago,Wadud Khan,UCqDk1uTXmnne9Oqwd-yxR4g,0,https://yt3.ggpht.com/ytc/AKedOLR2zLZ0mNFkXqfV1bcjmkYilYYE9ni46d9OOSrgLw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsH1UJT8t3wL4bYyl4AaABAg,hi,2 months ago,icesniper5,UCAOLrTTerEKmewdQiyeBfrw,0,https://yt3.ggpht.com/TJzF7Kzrk-7E2k_BRJy7AlAq7go7s3gOcnA-OYbvP-XTclh9tkVhJT22scgLga-d95KkK--jT_0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxI7tazn09-5LFqW0h4AaABAg,🦦,3 months ago,FrostBite,UCuRiwb1YTicNOZMMEuuORlQ,0,https://yt3.ggpht.com/ytc/AKedOLTrVZd_2S6kz7pAinmA3_bmCZ06s5zaheilV5fYPg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYAVjdxAM-YCCFrxJ4AaABAg,m83 is the best,3 months ago,jupiter,UCK-Dl5-ZLOjvwhy_Uq4xORw,0,https://yt3.ggpht.com/XJmmMmyO0S6JA0O6rQh50IPtPEXzN9ugrHYyM9Ple-JJxBs8bIoK3XsdQTB9CNFvIHNBO-Sl=s176-c-k-c0x00ffffff-no-rj,0.0
